layer,head,head_index,n_prompts,period_mean,period_min,period_max,period_std,period_q25,period_q75,period_iqr,period_range,dominant_period,dominant_period_count
5,5,65,150,17.70780182780183,3.090909090909091,22.666666666666668,6.669039891144982,9.714285714285715,22.666666666666668,12.952380952380953,19.575757575757578,22.666666666666668,96
5,6,66,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
5,7,67,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
5,8,68,150,6.620604617604617,3.090909090909091,9.714285714285715,1.6374925259250492,6.181818181818182,6.181818181818182,0.0,6.6233766233766245,6.181818181818182,110
5,9,69,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
5,10,70,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
5,11,71,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
6,0,72,150,6.431282347282346,3.090909090909091,17.0,1.2270060764962571,6.181818181818182,6.181818181818182,0.0,13.90909090909091,6.181818181818182,124
6,1,73,150,6.030309074661248,2.0606060606060606,9.714285714285715,2.9847609369746184,3.090909090909091,9.714285714285715,6.6233766233766245,7.653679653679655,9.714285714285715,50
6,2,74,150,6.969950937950936,3.090909090909091,9.714285714285715,1.5782570334228523,6.181818181818182,6.8,0.6181818181818182,6.6233766233766245,6.181818181818182,106
6,3,75,150,4.490515241094188,2.2666666666666666,9.714285714285715,2.0591318305499207,3.090909090909091,6.181818181818182,3.090909090909091,7.447619047619049,3.090909090909091,56
6,4,76,150,5.009434549466129,2.0606060606060606,11.333333333333334,1.555222437784973,3.238095238095238,6.181818181818182,2.9437229437229435,9.272727272727273,6.181818181818182,84
6,5,77,150,5.810830833011383,2.125,9.714285714285715,3.2041746917582907,3.090909090909091,9.714285714285715,6.6233766233766245,7.589285714285715,9.714285714285715,59
6,6,78,150,4.658507122748018,2.0,11.333333333333334,2.3190369672578464,3.090909090909091,5.666666666666667,2.575757575757576,9.333333333333334,3.090909090909091,52
6,7,79,150,6.151769119769119,3.090909090909091,6.8,0.4093654031844649,6.181818181818182,6.181818181818182,0.0,3.709090909090909,6.181818181818182,141
6,8,80,150,8.529686313686312,3.090909090909091,9.714285714285715,2.228717207069829,8.803571428571429,9.714285714285715,0.9107142857142865,6.6233766233766245,9.714285714285715,112
6,9,81,150,7.3220202020202,3.090909090909091,9.714285714285715,1.7685370904032802,6.181818181818182,9.714285714285715,3.5324675324675336,6.6233766233766245,6.181818181818182,96
6,10,82,150,4.379779864969338,2.0,9.714285714285715,1.8134459256833397,3.090909090909091,6.181818181818182,3.090909090909091,7.714285714285715,3.090909090909091,39
6,11,83,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
7,0,84,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
