season,week,n_active,n_elim,actual_elim,pred_elim,consistent
23,7,8,1,Maureen McCormick,Maureen McCormick,1
23,8,7,1,Ryan Lochte,Ryan Lochte,1
23,9,6,1,Marilu Henner,Marilu Henner,1
23,10,5,1,Terra Jole,Terra Jole,1
24,2,12,1,Chris Kattan,Chris Kattan,1
24,3,11,1,Charo,Charo,1
24,4,10,1,Mr. T,Mr. T,1
24,5,9,1,Erika Jayne,Erika Jayne,1
24,6,8,1,Heather Morris,Heather Morris,1
24,7,7,2,Nancy Kerrigan | Nick Viall,Nick Viall | Nancy Kerrigan,1
24,8,5,1,Bonner Bolton,Bonner Bolton,1
24,9,4,1,Simone Biles,Simone Biles,1
25,2,13,2,Barbara Corcoran | Debbie Gibson,Barbara Corcoran | Debbie Gibson,1
25,4,11,1,Derek Fisher,Derek Fisher,1
25,5,10,1,Sasha Pieterse,Sasha Pieterse,1
25,6,9,1,Nick Lachey,Nick Lachey,1
25,7,8,2,Nikki Bella | Vanessa Lachey,Nikki Bella | Vanessa Lachey,1
25,8,6,1,Terrell Owens,Terrell Owens,1
25,9,5,1,Victoria Arlen,Victoria Arlen,1
26,1,10,2,Jamie Anderson | Johnny Damon,Johnny Damon | Jamie Anderson,1
26,2,8,2,Kareem Abdul-Jabbar | Arike Ogunbowale,Kareem Abdul-Jabbar | Arike Ogunbowale,1
26,3,6,3,Jennie Finch Daigle | Chris Mazdzer | Mirai Nagasu,Jennie Finch Daigle | Chris Mazdzer | Mirai Nagasu,1
27,1,13,1,Nikki Glaser,Nikki Glaser,1
27,2,12,1,Danelle Umstead,Danelle Umstead,1
27,3,11,1,Nancy McKeon,Nancy McKeon,1
27,4,10,1,Tinashe,Tinashe,1
27,6,9,1,Mary Lou Retton,Mary Lou Retton,1
27,7,8,2,John Schneider | DeMarcus Ware,DeMarcus Ware | John Schneider,1
27,8,6,2,Juan Pablo Di Pace | Joe Amabile,Joe Amabile | Juan Pablo Di Pace,1
28,2,12,2,Ray Lewis | Mary Wilson,Mary Wilson | Ray Lewis,1
28,4,10,1,Lamar Odom,Lamar Odom,1
28,6,9,1,Sailor Brinkley-Cook,Sean Spicer,0
28,7,8,1,Karamo Brown,Karamo Brown,1
28,8,7,1,Kate Flannery,Sean Spicer,0
28,9,6,1,Sean Spicer,Sean Spicer,1
28,10,5,1,James Van Der Beek,James Van Der Beek,1
29,2,15,1,Charles Oakley,Charles Oakley,1
29,3,14,1,Carole Baskin,Carole Baskin,1
29,4,13,1,Anne Heche,Anne Heche,1
29,5,12,1,Jesse Metcalfe,Jesse Metcalfe,1
29,6,11,1,Veron Davis,Veron Davis,1
29,7,10,2,Monica Aldama | Jeannie Mai,Monica Aldama | Jeannie Mai,1
29,8,8,1,Chrishell Stause,Nelly,0
29,9,7,1,AJ McLean,AJ McLean,1
29,10,6,2,Skai Jackson | Johnny Weir,Johnny Weir | Skai Jackson,1
30,2,15,1,Martin Kove,Martin Kove,1
30,3,14,1,Christine Chiu,Christine Chiu,1
30,4,13,2,Brian Austin Green | Matt James,Brian Austin Green | Matt James,1
30,5,11,1,Melanie C,Melanie C,1
30,6,10,1,Kenya Moore,Kenya Moore,1
30,7,9,1,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",1
30,8,8,2,Jimmie Allen | Olivia Jade,Jimmie Allen | Olivia Jade,1
30,9,6,2,Melora Hardin | Suni Lee,Melora Hardin | Suni Lee,1
31,1,16,1,Jason Lewis,Jason Lewis,1
31,2,15,1,Teresa Giudice,Teresa Giudice,1
31,3,14,1,Cheryl Ladd,Cheryl Ladd,1
31,4,13,1,Sam Champion,Sam Champion,1
31,5,12,2,Selma Blair | Joseph Baena,Joseph Baena | Selma Blair,1
31,6,10,1,Jessie James Decker,Jessie James Decker,1
31,7,9,1,Jordin Sparks,Jordin Sparks,1
31,8,8,2,Heidi D'Amelio | Vinny Guadagnino,Vinny Guadagnino | Heidi D'Amelio,1
31,9,6,2,Trevor Donovan | Daniel Durant,Trevor Donovan | Daniel Durant,1
32,1,14,1,Matt Walsh,Matt Walsh,1
32,2,13,1,Jamie Lynn Spears,Jamie Lynn Spears,1
32,3,12,1,Tyson Beckford,Tyson Beckford,1
32,4,11,1,Adrian Peterson,Adrian Peterson,1
32,5,10,1,Mira Sorvino,Harry Jowsey,0
32,6,9,1,Mauricio Umansky,Mauricio Umansky,1
32,7,8,1,Lele Pons,Lele Pons,1
32,8,7,1,Barry Williams,Harry Jowsey,0
32,9,6,1,Harry Jowsey,Harry Jowsey,1
33,2,13,2,Tori Spelling | Anna Delvey,Anna Delvey | Tori Spelling,1
33,3,11,2,Eric Roberts | Reginald VelJohnson,Reginald VelJohnson | Eric Roberts,1
33,4,9,1,Brooks Nader,Brooks Nader,1
33,5,8,1,Phaedra Parks,Phaedra Parks,1
33,6,7,1,Jenn Tran,Ilona Maher,0
33,7,6,1,Dwight Howard ,Dwight Howard ,1
34,2,14,2,Corey Feldman | Baron Davis,Corey Feldman | Baron Davis,1
34,3,12,1,Lauren Jauregui,Lauren Jauregui,1
34,4,11,1,Hilaria Baldwin,Hilaria Baldwin,1
34,6,10,1,Scott Hoying,Scott Hoying,1
34,7,9,1,Jen Affleck,Jen Affleck,1
34,8,8,1,Danielle Fishel,Danielle Fishel,1
34,9,7,1,Andy Richter,Andy Richter,1
34,10,6,1,Whitney Leavitt,Whitney Leavitt,1
